语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,脱网次数,mos质差次数,未接通掉话次数,是否投诉,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,场所合计,出现问题合计,脱网次数、mos质差次数、未接通掉话次数合计
3,3,3,3,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,1,308,308,22,78,308,0,534,1,9083517,9083517,1,4,3,5,0
9,9,9,9,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,1,182,182,11,43.94,182,0,192,1,17584927,17584927,0,3,2,2,2
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43.95,1,10,1,174,174,18,18,174,0,168,1,128939,128939,0,4,0,0,0
7,5,7,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,137.65,1,14.93,1,185,185,11,81.93,185,0,275,1,21134232,21134232,1,4,1,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,131,131,11,100,131,0,88,1,2877605,2877605,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,460,460,14,31,460,0,304,1,187362,187362,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,147,147,11,20.45,147,0,120,1,84512,84512,0,3,0,0,0
8,8,8,5,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,209,209,1,21,209,0,272,1,22229413,22229413,0,2,7,3,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,216,216,22,45,216,0,143,1,4090068,4090068,1,3,0,0,0
9,9,9,8,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1032,1032,11,130,1032,0,766,1,8489371,8489371,1,5,1,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,4,0,0,1,0,13.83,1,10,1,102,102,17,41.11,102,0,386,1,456367,456367,0,3,0,0,228
9,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,122,122,11,56.98,122,0,250,1,33512536,33512536,0,3,0,0,0
9,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,218,218,11,31.7,218,0,2679,1,100557,100557,0,3,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,279,279,22,62,279,0,590,1,6256219,6256219,0,3,1,4,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,295,295,18,66,295,0,330,1,45645300,45645300,0,4,0,0,0
0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2093,2093,22,211,2093,0,1669,1,29985114,29985114,0,5,3,4,0
6,4,6,4,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,438,438,11,131.6,438,0,1261,1,15982740,15982740,1,5,3,3,0
7,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,89,89,22,39,89,0,182,1,2198671,2198671,0,5,0,0,4
8,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,106,106,14,10.28,106,0,105,1,8359319,8359319,0,4,0,0,2
9,5,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,1,0,0,1,0,1,157,157,14,41.56,157,0,203,1,18596631,18596631,0,4,1,1,26
9,6,7,6,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,2,0,0,1,15,1,469,469,22,44.1,469,0,625,1,14043534,14043534,1,4,2,5,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,136,136,11,8,136,0,229,1,62756,62756,0,4,0,0,0
9,9,9,9,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,96,96,22,100,96,0,120,1,3182458,3182458,0,5,3,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,66,66,18,18.19,66,0,68,1,21028,21028,0,4,0,0,0
9,8,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,172,172,18,35.28,172,0,132,1,9782615,9782615,0,4,0,0,0
9,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,111,111,17,95.08,111,0,163,1,11563171,11563171,1,3,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,476,476,11,105,476,0,885,1,46851567,46851567,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,254,254,22,114,254,0,194,1,16862062,16862062,0,5,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,152.91,1,40,1,196,196,17,59.48,196,0,96,1,1010474,1010474,0,4,0,0,0
9,9,9,9,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,75.93,1,15.8,1,219,219,22,64.36,219,0,389,1,3959657,3959657,0,5,1,2,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,317,317,18,145,317,0,356,1,9606789,9606789,1,5,0,0,0
9,9,9,9,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,6,1,0,2,0,0,1,0,1,49,49,22,21,49,0,369,1,17147016,17147016,1,2,3,4,7
7,8,7,7,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1181,1181,22,161,1181,0,1250,1,18282992,18282992,1,5,1,2,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,104.42,1,14.64,1,39,39,11,24.64,39,0,78,1,121537,121537,0,4,0,0,0
7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,344.59,1,60,1,64,64,11,73.75,64,0,87,1,1889442,1889442,1,2,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1071.89,1,30,1,159,159,22,162,159,0,262,1,80135588,80135588,0,5,0,0,0
6,7,7,6,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1124,1124,11,34.4,1124,0,570,1,17170595,17170595,1,3,2,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1034,1034,11,118,1034,0,765,1,484432,484432,0,5,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,185,185,11,65,185,0,138,1,3833448,3833448,1,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,305,305,18,24,305,0,139,1,6441883,6441883,1,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,81,81,22,25,81,0,71,1,900952,900952,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,89,89,17,90,89,0,282,1,2252861,2252861,0,5,0,0,0
8,7,8,9,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,310,310,18,88.19,310,0,591,1,1956892,1956892,0,4,1,1,0
3,2,4,6,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,260,260,22,21,260,0,384,1,14982188,14982188,0,3,4,3,0
8,7,8,8,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,803,803,22,165,803,0,603,1,10922812,10922812,0,5,2,2,0
9,9,9,9,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,204,204,22,68,204,0,204,1,48734017,48734017,0,4,1,3,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,360,360,14,50,360,0,595,1,26872333,26872333,0,3,0,0,0
9,9,9,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,703.3,1,21.29,1,158,158,18,63.64,158,0,256,1,22244606,22244606,1,4,1,1,0
9,9,9,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1993,1993,22,345,1993,0,1980,1,29983965,29983965,0,7,1,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2080.56,1,51,1,157,157,11,183,157,0,445,1,51906706,51906706,0,4,0,0,0
9,9,9,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,55.64,1,21,1,68,68,17,48.9,68,0,240,1,22755889,22755889,0,5,1,1,0
9,4,7,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,123,123,11,86.1,123,0,313,1,21098550,21098550,0,4,1,2,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,282,282,11,83,282,0,187,1,48114253,48114253,1,4,0,0,0
9,9,9,9,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,815,815,22,120,815,0,642,1,17136267,17136267,0,5,2,6,0
9,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,402,402,11,98,402,0,376,1,172705,172705,0,4,0,0,4
7,8,8,7,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,245,245,22,38,245,0,313,1,7910066,7910066,0,4,1,2,0
8,7,9,7,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,8,0,0,0,1,0,0,1,0,1,78,78,14,29,78,0,255,1,1658878,1658878,0,4,2,2,8
9,9,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,9,1,24,24,17,20,24,0,45,1,4520690,4520690,1,3,1,1,0
5,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11.89,1,10,10,11,21.89,10,0,70,1,74002,74002,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,213,213,22,21,213,0,210,1,22021066,22021066,0,2,0,0,0
8,5,8,6,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,146,146,17,39,146,0,133,1,9102582,9102582,0,4,3,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,369,369,22,97.9,369,0,410,1,11650036,11650036,1,4,0,0,0
9,9,9,9,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,27,27,18,0,27,0,169,1,19452886,19452886,1,5,2,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,25,25,18,26,25,0,29,1,14865,14865,0,4,0,0,0
7,7,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,170,170,14,32.25,170,0,91,1,12927019,12927019,1,4,0,0,0
8,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,314,314,11,60,314,0,244,1,23587433,23587433,0,3,0,0,0
7,2,7,7,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,47,47,14,19.95,47,0,102,1,1789765,1789765,0,4,1,2,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,126,126,17,35,126,0,158,1,21302993,21302993,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,149,149,17,60,149,0,274,1,3510610,3510610,0,4,0,0,2
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,134,134,18,54.42,134,0,419,1,46943240,46943240,1,3,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,155,155,11,49,155,0,317,1,1156948,1156948,0,2,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,828,828,22,48.1,828,0,361,1,4984144,4984144,0,3,8,2,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,95.8,1,512,512,22,178.04,512,0,188,1,2392221,2392221,0,5,8,6,0
9,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,138.54,1,30,1,205,205,22,91.59,205,0,262,1,55043160,55043160,0,4,0,0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,408,408,17,68.45,408,0,315,1,5723713,5723713,0,3,1,5,0
9,7,9,6,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,22,22,22,50,22,0,164,1,19051574,19051574,0,4,2,2,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,100,100,18,41.95,100,0,143,1,24146867,24146867,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,625,625,18,34.27,625,0,460,1,11695462,11695462,0,4,0,0,4
0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,128,128,11,40.47,128,0,24,1,440082,440082,0,4,6,2,0
9,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,176,176,18,58,176,0,128,1,9,9,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1512.83,1,33,1,3451,3451,14,116,3451,0,1373,1,68040140,68040140,1,4,0,0,0
4,7,4,4,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,0,0,1,0,1,2732,2732,14,18,2732,0,5049,1,1505932,1505932,1,3,1,5,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,1,0,1,303,303,22,24,303,0,271,1,5253848,5253848,0,4,0,0,5
8,7,6,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,449,449,22,90,449,0,225,1,23535600,23535600,1,5,1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,160,160,14,74,160,0,451,1,23683075,23683075,1,2,1,3,0
9,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,341,341,11,49,341,0,212,1,16678503,16678503,1,3,0,0,0
8,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,443,443,11,94,443,0,393,1,1601,1601,0,4,0,0,0
9,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,153,153,22,39,153,0,107,1,3158302,3158302,0,4,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,9,9,22,151.1,9,20,37,1,11424684,11424684,0,6,2,3,0
9,9,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1590,1590,14,76.18,1590,0,2295,1,42842647,42842647,0,4,0,0,0
5,6,3,4,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,1,0,0,1,0,1,193,193,14,49.1,193,0,165,1,2233245,2233245,0,3,1,3,2
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,1,0,1,48,48,22,10,48,0,105,1,31385783,31385783,1,2,1,4,0
2,4,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,94,94,11,33.2,94,0,303,1,44525,44525,0,5,1,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,360,360,22,10.6,360,0,332,1,18302293,18302293,0,3,0,0,1
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,206,206,22,49,206,0,165,1,40895337,40895337,1,3,0,0,0
0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,132,132,22,70.1,132,0,473,1,17858200,17858200,0,3,7,3,0
9,7,9,7,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,7,0,0,1,0,0,1,0,1,16,16,18,21,16,0,143,1,16822379,16822379,0,3,3,2,7
8,4,5,8,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,669,669,11,128,669,0,915,1,8726955,8726955,0,5,1,3,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,220,220,22,15,220,0,281,1,8358909,8358909,0,4,0,0,0
8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1675,1675,14,248,1675,0,1730,1,57211909,57211909,1,6,0,0,0
0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,151.83,1,10,1,45,45,22,27.5,45,0,29,1,16398188,16398188,0,4,2,3,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,517,517,11,151,517,0,1107,1,10101687,10101687,1,5,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,173,173,22,128,173,0,363,1,23152270,23152270,0,5,0,0,4
8,8,8,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,262,262,22,30,262,0,288,1,30075108,30075108,0,3,1,1,0
2,2,2,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1055.64,1,150,1,2051,2051,22,304,2051,0,1610,1,174541422,174541422,0,4,2,1,0
6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.96,1,3.19,1,350,350,18,47.46,350,0,275,1,185738,185738,0,3,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1,22,15,1,0,28,1,3225910,3225910,1,4,0,0,0
9,9,9,9,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,107,107,22,90,107,0,318,1,18976969,18976969,0,4,1,3,0
9,8,9,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,204,204,11,12.52,204,0,290,1,13190351,13190351,1,4,2,1,0
9,7,9,8,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,51,51,22,97,51,0,146,1,3738997,3738997,0,5,2,3,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,221,221,14,39,221,0,342,1,16047408,16047408,0,3,0,0,0
9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,221,221,17,25,221,0,230,1,135955,135955,0,2,8,7,0
6,5,7,6,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,51,1,257,257,11,85.8,257,0,147,1,24159810,24159810,0,4,3,4,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,105,105,11,40,105,0,237,1,19426744,19426744,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,831,831,22,95,831,0,1180,1,6745601,6745601,0,4,0,0,0
7,7,7,7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,249,249,22,44,249,0,97,1,218473,218473,0,4,1,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,92,92,11,43,92,0,195,1,14033054,14033054,1,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,258,258,22,25.15,258,0,177,1,532682,532682,0,4,0,0,0
9,9,9,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,219,219,11,39,219,0,641,1,19804759,19804759,0,4,1,2,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1138,1138,11,298,1138,0,977,1,11081706,11081706,1,7,0,0,0
8,8,7,8,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1789,1789,11,204.02,1789,0,2209,1,33488256,33488256,0,5,2,4,0
6,6,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47.16,1,10,1,96,96,11,19,96,0,130,1,1935020,1935020,0,4,0,0,0
9,9,9,9,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,88,88,22,0,88,0,99,1,31603753,31603753,0,5,3,2,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,574,574,22,43.8,574,0,171,1,14131525,14131525,0,2,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1412,1412,18,295,1412,0,4546,1,67191218,67191218,0,7,0,0,0
0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,18,0,1,0,0,1,0,1,517,517,22,73.3,517,0,268,1,32692497,32692497,0,4,5,6,18
0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,411,411,22,35,411,0,266,1,35618200,35618200,0,3,7,6,0
8,9,7,7,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,92,92,22,75,92,0,169,1,11523248,11523248,0,4,3,4,0
